100000  , 16      
200000  , 40      
300000  , 70      
400000  , 96      
500000  , 144     
600000  , 155     
700000  , 192     
800000  , 223     
900000  , 253     
1000000 , 283     
1100000 , 326     
1200000 , 381     
1300000 , 359     
1400000 , 397     
1500000 , 428     
1600000 , 468     
1700000 , 507     
1800000 , 553     
1900000 , 587     
2000000 , 634     
2100000 , 661     
2200000 , 749     
2300000 , 782     
2400000 , 782     
2500000 , 899     
2600000 , 958     
2700000 , 934     
2800000 , 1076    
2900000 , 1052    
3000000 , 1058    
3100000 , 1178    
3200000 , 1163    
3300000 , 1203    
3400000 , 1309    
3500000 , 1715    
3600000 , 1836    
3700000 , 1778    
3800000 , 1870    
3900000 , 1996    
4000000 , 2023    
4100000 , 2418    
4200000 , 2192    
4300000 , 2268    
4400000 , 2336    
4500000 , 2377    
4600000 , 2475    
4700000 , 2414    
4800000 , 2544    
4900000 , 2560    
5000000 , 2654    
5100000 , 2633    
5200000 , 2707    
5300000 , 2838    
5400000 , 2937    
5500000 , 3014    
5600000 , 2881    
5700000 , 2970    
5800000 , 2834    
5900000 , 3051    
6000000 , 3135    
6100000 , 3108    
6200000 , 3288    
6300000 , 3351    
6400000 , 3266    
6500000 , 3382    
6600000 , 3399    
6700000 , 3516    
6800000 , 3530    
6900000 , 3671    
7000000 , 3689    
7100000 , 3821    
7200000 , 3828    
7300000 , 3964    
7400000 , 4601    
7500000 , 4165    
7600000 , 4207    
7700000 , 4160    
7800000 , 4275    
7900000 , 4378    
8000000 , 4491    
8100000 , 4180    
8200000 , 3904    
8300000 , 3940    
8400000 , 3772    
8500000 , 4000    
8600000 , 4054    
8700000 , 4294    
8800000 , 4161    
8900000 , 3961    
9000000 , 4233    
9100000 , 4191    
9200000 , 4414    
9300000 , 4393    
9400000 , 4368    
9500000 , 4590    
9600000 , 4751    
9700000 , 4873    
9800000 , 4769    
9900000 , 4967    
