100000  , 84      
200000  , 138     
300000  , 228     
400000  , 403     
500000  , 474     
600000  , 553     
700000  , 668     
800000  , 888     
900000  , 1037    
1000000 , 1162    
1100000 , 1315    
1200000 , 1468    
1300000 , 1459    
1400000 , 1588    
1500000 , 1729    
1600000 , 2367    
1700000 , 2141    
1800000 , 2270    
1900000 , 2451    
2000000 , 2602    
2100000 , 2762    
2200000 , 2801    
2300000 , 2840    
2400000 , 2993    
2500000 , 3167    
2600000 , 3495    
2700000 , 3622    
2800000 , 3810    
2900000 , 3992    
3000000 , 4518    
3100000 , 4319    
3200000 , 4539    
3300000 , 4603    
3400000 , 4808    
3500000 , 4967    
3600000 , 5098    
3700000 , 5235    
3800000 , 5473    
3900000 , 5613    
4000000 , 5758    
4100000 , 6174    
4200000 , 6230    
4300000 , 6293    
4400000 , 6464    
4500000 , 6626    
4600000 , 6551    
4700000 , 6707    
4800000 , 7173    
4900000 , 7416    
